user_id,movie_id,actual_rating_hybrid,Hybrid_predicted_rating,actual_rating_matrixf,predicted_rating
908,69,3,3.5093677,3.0,3.0
287,710,4,3.9249172,4.0,4.0
622,185,3,4.026891,3.0,3.0
772,307,4,4.061265,4.0,4.0
174,1,3,3.76328,3.0,3.0
295,42,3,4.28213,3.0,3.0
239,1099,5,4.125918,5.0,5.0
702,748,2,2.5532799,2.0,2.0
117,1095,3,2.7222645,3.0,3.0
474,1028,1,3.1339726,1.0,1.0
294,286,5,3.7045484,5.0,5.0
918,630,3,2.5597348,3.0,3.0
422,441,4,2.7659464,4.0,4.0
507,1016,5,5.2297072,5.0,5.0
934,949,3,3.328087,3.0,3.0
276,169,5,4.3478503,5.0,5.0
757,1016,3,3.1991873,3.0,3.0
435,89,4,3.8398309,4.0,4.0
392,250,3,3.411699,3.0,3.0
592,518,5,3.7515414,5.0,5.0
835,606,5,4.253892,5.0,5.0
198,179,4,3.9404807,4.0,4.0
200,423,5,4.191139,5.0,5.0
43,168,4,4.197992,4.0,4.0
660,996,1,1.611014,1.0,1.0
280,225,4,3.1612558,4.0,4.0
85,521,3,3.749635,3.0,3.0
693,176,2,3.1274202,2.0,2.0
368,292,4,3.5392454,4.0,4.0
936,696,2,3.547547,2.0,2.0
304,343,3,3.1604543,3.0,3.0
374,151,3,3.3431692,3.0,3.0
374,123,2,3.1104212,2.0,2.0
878,269,4,3.3465853,4.0,4.0
893,405,5,3.3805733,5.0,5.0
530,255,4,3.6591215,4.0,4.0
802,670,4,3.2925787,4.0,4.0
881,217,3,2.978564,3.0,3.0
276,421,4,3.8541598,4.0,4.0
457,96,5,4.444113,5.0,5.0
450,385,4,3.8261046,4.0,4.0
451,266,2,2.6013656,2.0,2.0
595,129,3,3.8705187,3.0,3.0
880,794,4,3.5421867,4.0,4.0
276,367,3,3.297042,3.0,3.0
275,1066,3,2.5272326,3.0,3.0
193,294,1,2.8385487,1.0,1.0
8,174,5,4.370325,5.0,5.0
294,979,3,3.5381827,3.0,3.0
